3D	T R I D E
3M	T R I EH M
5G	P EH M P J E
A2	A D A OU
A3	A T R I
A4	A P E V A R
AAA	A A A
AAA	T R I A
ABC	A B E S E
ABK	A B E K A
ABP	A B E P E
ABU	A B E U
ADEME	A D EH M
ADN	A D E EH N
AFPA	A F P A
AFP	A EH F P E
AFPS	A EH F P E EH S
AGP	A J E P E
AK	A K A
ALBB	A EH L B E B E
ANC	A EH N S E
ANPE	A EH N P E EU
ANSI	A N S I
AOC	A O S E
AOK	A O K A
API	A P E I
ARB	A EH R B E
ARN	A EH R EH N
ASCII	A S K I
AUV	A U V E
B2	B E D A OU
B3	B E T R I
B5	B E P EH M P
BAFA	B A F A
BBC	B I B I S I
BCD	B E S E D E
BDG	B E D E J E
BE	B E EU
BEC	B E EU S E
BEP	B E EU P E
BEPC	B E EU P E S E
BIOS	B I O S
BMX	B E EH M I K S
BR	B E EH R
BRGM	B E EH R G E EH M
BS	B E EH S
BT	B E T E
BTS	B E T E EH S
BZH	B E Z E D A CH
C2	S E D A OU
C3	S E T R I
C4	S E P E V A R
CAF	K A F
CAF	X A F
CAPES	K A P EH S
CAPES	X A P EH S
CAP	S E A P E
CDD	S E D E DE
CDI	S E D E I
CD-ROM	S E D E R OH M
CD	S E D E
CE1 S E EU U N AN N
CE2	S E EU D A OU
CESU	S E Z U
CFDT	S E EH F D E T E
CGE	S E J E EU
CGT	S E G E T E
CIA	S E I A
CM1	S E EH M U N AN N
CM2	S E EH M D A OU
CMACGM	S E EH M A S E J E EH M
CMB	S E EH M B E
CMPP	S E EH M P E P E
CNC	S E EH N S E
CNRS	S E EH N EH R EH S
CNT	S E EH N T E
CO2 S E O D A OU
COB K OH B
COM K OH M
COP	K O P
CP	S E P E
CRBC	S E EH R B E S E
CRS	S E EH R EH S
CSA	S E EH S A
CV	S E V E
D2	D E D A OU
DAO	D E A O
DE	D E E
DEUG	D OE G
DIY	D I A I W A I
DJ	D I D J EY
DRH	D E EH R A CH
DVD	D E V E D E
E4  E P E V A R
EDF	EU D E EH F
EHZ	E A CH Z EH D
ENS	EU EH N EH S
ENSTA	EU EH N EH S T E A
EPHAD	E P A D
EPV EU P E V E
EV	EU V E
EVP	EU V E P E
F3  EH F T R I
F7  EH F S EH I Z
FAO	EH F A O
FBI	EH F B I A I
FCIS EH F S E I EH S
FDSEA	EH F D E EH S EU A
FFBA EH F EH F B E A
FIFA	F I F A
FLB	EH F EH L B E
FLN	EH F EH L EH N
FM	EH F EH M
FNSEA	EH F EH N EH S EU A
FPS	EH F P E EH S
FR3	EH F EH R T R I
FR	EH F EH R
FTP	EH F T E P E
G4	J E P E V A R
GBB	G E B E B E
GBB	J E B E B E
GIEC	J I EH K
GPL	J E P E EH L
GPS G E P E EH S
GPS	J E P E EH S
H2	A CH D A OU
HTML A CH T E EH M EH L
HTTP	A CH T E T E P E
IA	I A
IFREMER	I F R E M EH R
IFREMER	I F R EU M EH R
IKEA	I K E A
INRAP	I N R A P
INSEE	I N S E
IOS	I O EH S
IRA	I R A
IRC	I EH R S E
ISO	I Z O
IT	I T E
IUEM	I U EU EH M
IUT	I U T E
JK	J I K A
JMM	J I EH M EH M
KDSK	K A D E EH S K A
KEAV	K A E A V E
KEAV	K E A V E
KGB	K A J E B E
KKKB	K A K A K A B E
KLT	K A EH L T E
KS	K A EH S
KVB	K A V E B E
L2	EH L D A OU
L3	EH L T R I
LBGT	EH L B E G E T E
LFE	EH L EH F E
LFE	EH L EH F EU
LFI	EH L EH F I
LGBT	EH L J E B E T E
LGDT	EH L G E D E T E
LPO	EH L P E O
LSD	EH L EH S D E
LTB	EH L T E B E
LTK	EH L T E K A
MEDEF	M E D EH F
MI5	EH M I F A I V
MIT	EH M A I T I
MMA	EH M EH M A
MP3	EH M P E T R I
MS	EH M EH S
MSN	EH M EH S EH N
NASA	N A Z A
NATO	N A T O
OAB	O A B E
OBB	O B E B E
OGM	O J E EH M
OK	O K EH
OMI	O EH M I
ONG	O EH N J E
ONU	O N U
OPAB	O P A B
ORG	OH R G
OSX	O EH S I K S
OTAN	O T AN
P3	P E T R I
PACA	P A K A
PCF	P E S E EH F
PCI	P E S E I
PC	P E S E
PCR	P E S E EH R
PDF	P E D E EH F
PDG	P E D E J E
PH	P E A CH
PHP	P E A CH P E
PIB	P E I B E
PLS	P E EH L EH S
PME	P E EH M EU
PMI	P E EH M I
PSC	P E S E EH S
PS	P E EH S
QR	K U EH R
RATP	EH R A T E P E
RBI	EH R B E I
RCF	EH R S E EH F
RDA	EH R D E A
RKB	EH R K A B E
RPG	EH R P E J E
RSS	EH R EH S EH S
SACEM	S A S EH M
SCI	EH S S E I
SCOP	S K OH P
SD	EH S D E
SDF	EH S D E EH F
SICA	S I K A
SIDA	S I D A
SKED	S K E D
SMIC	S M I K
SNCF	EH S EH N S E EH F
SNSM	EH S EH N EH S EH M
SPA	EH S P E A
SP	EH S P E
SQL	EH S K U EH L
SS	EH S EH S
STOP	S T OH P
SUA	EH S U A
SUV	EH S U V E
TBO	T E B E O
TB	T E B E
TCP	T E S E P E
TDN	T E D E EH N
TER	T E EU EH R
TES	T EH S
TF1	T E EH F EN
TF1	T E EH F U N AN N
TGV	T E J E V E
THC	T E A CH S E
TMO	T E EH M O
TTB	T E T E B E
TVA	T E V E A
TVR	T E V E EH R
TV	T E V E
UBAPAR	U B A P A R
UBO	U B E O
UDB	U D E B E
UE	U EU
UFC	U EH F S E
UGB	U G E B E
UGB	U J E B E
UJFP	U J I EH F P E
ULBAM	U EH L B E A EH M
UMP	U EH M P E
UNESCO	U N EH S K O
UNESCO	U N E S K O
UNICEF	U N I S EH F
URL	U EH R EH L
URSS	U EH R EH S EH S
USB	U EH S B E
US	U EH S
UTC	U T E S E
UV	U V E
VIH	V E I A CH
VLC	V E EH L S E
VOD	V E O D E
VOD	V OH D
VTT	V E T E T E
WIPRO	W I P R O
WWW	W E W E W E
WWW	W OE W OE W OE
YB	IE B E
ZEE	Z EH D EU EU
ZIP	Z I P
